ID,Gene Name,UniProt ID,Species,Drug IDs
2094,C1QA,P02745,Humans,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00112
2096,C1QC,P02747,Humans,DB00002; DB00005; DB00054; DB00056; DB00072; DB00074; DB00075; DB00078; DB00081; DB00087; DB00092; DB00095; DB00108; DB00110; DB00112; DB01593; DB09130; DB14487; DB14533
2129,NRP1,O14786,Humans,DB00039; DB04895
2130,COL3A1,P02461,Humans,DB00048
2140,COL2A1,P02458,Humans,DB00048
2179,PLD2,O14939,Humans,DB00122; DB14006
2194,FAAH,O00519,Humans,DB00599; DB12010
2197,BBOX1,O75936,Humans,DB00126; DB00139
2214,ADA,P00813,Humans,DB00552; DB00975
2264,B4GALT2,O60909,Humans,DB00141
2267,SLC1A7,O00341,Humans,DB00142
2269,GRID2,O43424,Humans,DB00142
2315,PADI3,Q9ULW8,Humans,DB00155
2340,GABBR2,O75899,Humans,DB00181; DB02530
2356,CACNB4,O00305,Humans,DB00393; DB04855
2357,CACNA1F,O60840,Humans,DB00393; DB00568; DB04855; DB04920
2367,HDAC3,O15379,Humans,DB02546
2383,PIK3R2,O00459,Humans,DB01064
2390,SOD1,P00441,Humans,DB00988; DB01064; DB01593; DB09061; DB14487; DB14533
2398,KCNQ3,O43525,Humans,DB00321; DB00939; DB00996; DB04953
2400,KCNQ5,Q9NR82,Humans,DB00996; DB04953
2406,PIK3CD,O00329,Humans,DB00201; DB09054; DB11952; DB12010; DB12483
2408,JAK2,O60674,Humans,DB08877; DB08895; DB11817; DB11986; DB12010; DB12500; DB15035
2416,HLA-DRB1,P04229,Humans,DB05259
2442,TLR4,O00206,Humans,DB00924; DB01183; DB03017; DB11193; DB13615
2449,TERT,O14746,Humans,DB00495
2517,TRDMT1,O14717,Humans,DB00738; DB09462
2854,APOH,P02749,Humans,DB09130
3381,CHEK2,O96017,Humans,DB12010
3382,CHEK1,O14757,Humans,DB12010
3385,MT-CO2,P00403,Humans,DB02659
3391,MAPK13,O15264,Humans,DB12010
3408,BIRC5,O15392,Humans,DB00206; DB04115
3449,APOA1,P02647,Humans,DB01593; DB09130; DB14487; DB14533
3455,C3,P01024,Humans,DB00028; DB01593; DB09130; DB14487; DB14533
3476,NPY,P01303,Humans,DB00191
3480,CYP26A1,O43174,Humans,DB00755
3488,CD4,P01730,Humans,DB00098; DB12698
3491,INS,P01308,Humans,DB01593; DB14487; DB14533
3517,TNFSF11,O14788,Humans,DB00480; DB06643
3521,MLNR,O43193,Humans,DB00199
3538,UGT1A9,O60656,Humans,DB04824
3566,TNNC2,P02585,Humans,DB01023; DB01373
3570,GGPS1,O95749,Humans,DB00399
3582,KCNK3,O14649,Humans,DB00561; DB01159
3583,KCNK9,Q9NPC2,Humans,DB00561; DB01159
3596,GABRP,O00591,Humans,DB00231; DB00690; DB00801; DB00829; DB00842; DB00897; DB00898; DB01215; DB01558; DB01559; DB01588; DB01589; DB01595
3599,GABRD,O14764,Humans,DB00231; DB00690; DB00801; DB00829; DB00842; DB00897; DB00898; DB01215; DB01558; DB01559; DB01587; DB01588; DB01589; DB01595
3619,GABRR3,A8MPY1,Humans,DB00231; DB00690; DB00801; DB00829; DB00842; DB00897; DB01215; DB01558; DB01559; DB01588; DB01589; DB01595
3636,SCN2B,O60939,Humans,DB00909
3637,SCN3B,Q9NY72,Humans,DB00909
3639,ABCC5,O15440,Humans,DB11672
3733,ADCY5,O95622,Humans,DB09121
3788,DAPK3,O43293,Humans,DB12010
3839,ERN1,O75460,Humans,DB12010
3987,MT-CO3,P00414,Humans,DB02659
4082,HLA-B,P03989,Humans,DB11294
4105,SGK1,O00141,Humans,DB03247
4191,ROCK2,O75116,Humans,DB12010; DB13931
4353,AKR1B10,O60218,Humans,DB00605
4439,HCRT,O43612,Humans,DB03088
4466,HLA-DQB1,P01920,Humans,DB00071
4614,RPS6KA4,O75676,Humans,DB03247
4655,CHUK,O15111,Humans,DB00233; DB00244; DB00795; DB06151
4661,CHRNA1,P02708,Humans,DB00674
4672,F12,P00748,Humans,DB01593; DB06404; DB06689; DB09228; DB14487; DB14533
4689,MYC,P01106,Humans,DB00945; DB08813
4702,HMMR,O75330,Humans,DB08818
4734,IL1A,P01583,Humans,DB06372
4779,MT2A,P02795,Humans,DB01593; DB14487; DB14533
9877,HLA-DRA,P01903,Humans,DB11294
2416,HLA-DRB1,P04229,Humans,DB11294
9913,HLA-DRB1,Q30167,Humans,DB11294
9910,HLA-DRB1,P20039,Humans,DB11294
9886,HLA-DRB1,Q95IE3,Humans,DB11294
9883,HLA-DRB1,Q5Y7A7,Humans,DB11294
9880,HLA-DRB1,Q9GIY3,Humans,DB11294
9904,HLA-DRB1,P01911,Humans,DB11294
9925,HLA-DRB1,Q29974,Humans,DB11294
9898,HLA-DRB1,P01912,Humans,DB11294
9895,HLA-DRB1,P13760,Humans,DB11294
9892,HLA-DRB1,P13761,Humans,DB11294
9901,HLA-DRB1,Q30134,Humans,DB11294
9907,HLA-DRB1,Q9TQE0,Humans,DB11294
